budget;company;country;director;genre;gross;name;rating;released;runtime;score;star;votes;writer;year
80000000;Columbia Pictures Corporation;USA;Rob Reiner;Adventure;522874140;Stand by Me;R;31646;89;81;Wil Wheaton;299174;Stephen King;1986
60000000;Paramount Pictures;USA;John Hughes;Comedy;701363690;Ferris Bueller's Day Off;PG-13;31574;103;78;Matthew Broderick;264740;John Hughes;1986
150000000;Paramount Pictures;USA;Tony Scott;Action;1798006010;Top Gun;PG;31548;110;69;Tom Cruise;236909;Jim Cash;1986
185000000;Twentieth Century Fox Film Corporation;USA;James Cameron;Action;851602480;Aliens;R;31611;137;84;Sigourney Weaver;540152;James Cameron;1986
90000000;Walt Disney Pictures;USA;Randal Kleiser;Adventure;185646130;Flight of the Navigator;PG;31625;90;69;Joey Cramer;36636;Mark H. Baker;1986
60000000;Hemdale;UK;Oliver Stone;Drama;1385305650;Platoon;R;31814;120;81;Charlie Sheen;317585;Oliver Stone;1986
250000000;Henson Associates (HA);UK;Jim Henson;Adventure;127299170;Labyrinth;PG;31590;101;74;David Bowie;102879;Dennis Lee;1986
60000000;De Laurentiis Entertainment Group (DEG);USA;David Lynch;Drama;85512280;Blue Velvet;R;31708;120;78;Isabella Rossellini;146768;David Lynch;1986
90000000;Paramount Pictures;USA;Howard Deutch;Comedy;404716630;Pretty in Pink;PG-13;31471;96;68;Molly Ringwald;60565;John Hughes;1986
150000000;SLM Production Group;USA;David Cronenberg;Drama;404565650;The Fly;R;31639;96;75;Jeff Goldblum;129698;George Langelaan;1986
88000000;Rimfire Films;Australia;Peter Faiman;Adventure;1746350000;Crocodile Dundee;PG-13;31681;97;65;Paul Hogan;79465;Ken Shadie;1986
160000000;Thorn EMI Screen Entertainment;UK;Russell Mulcahy;Action;59000000;Highlander;R;31478;116;72;Christopher Lambert;104860;Gregory Widen;1986
60000000;Twentieth Century Fox Film Corporation;USA;David Seltzer;Comedy;82000000;Lucas;PG-13;31499;100;68;Corey Haim;12228;David Seltzer;1986
